miRNA
MIMAT0024598
MIMAT0004807
MIMAT0000735
MIMAT0003385
MIMAT0018110
MIMAT0027446
MIMAT0003885
MIMAT0003880
MIMAT0019700
MIMAT0000268
MIMAT0004503
MIMAT0007885
MIMAT0021022
MIMAT0019750
MIMAT0000253
MIMAT0002841
MIMAT0000689
MIMAT0001080
MIMAT0022478
MIMAT0004976
MIMAT0017994
MIMAT0004680
MIMAT0017984
MIMAT0025848
