miRNA_ID	TCGA-KL-8346-01A	TCGA-KN-8433-11A	TCGA-KN-8432-01A	TCGA-KO-8409-01A	TCGA-KN-8430-11A	TCGA-KL-8331-01A	TCGA-KL-8336-11A	TCGA-KO-8413-01A	TCGA-KO-8403-11A	TCGA-KL-8345-01A	TCGA-KO-8410-01A	TCGA-KL-8344-01A	TCGA-KL-8327-01A	TCGA-KN-8426-11A	TCGA-KN-8434-11A	TCGA-KN-8424-11A	TCGA-KN-8424-01A	TCGA-KN-8427-01A	TCGA-KN-8427-11A	TCGA-KM-8476-01A	TCGA-KO-8406-01A	TCGA-KO-8403-01A	TCGA-KL-8334-01A	TCGA-KL-8335-01A	TCGA-KN-8436-01A	TCGA-KO-8405-01A	TCGA-KN-8437-01A	TCGA-KN-8437-11A	TCGA-KN-8419-11A	TCGA-KN-8419-01A	TCGA-KL-8326-11A	TCGA-KL-8326-01A	TCGA-KL-8328-01A	TCGA-KM-8477-01A	TCGA-KO-8407-01A	TCGA-KL-8342-01A	TCGA-KO-8417-01A	TCGA-KL-8336-01A	TCGA-KL-8330-01A	TCGA-KM-8440-01A	TCGA-KN-8422-11A	TCGA-KN-8431-11A	TCGA-KN-8431-01A	TCGA-KO-8415-11A	TCGA-KN-8432-11A	TCGA-KO-8411-01A	TCGA-KM-8438-01A	TCGA-KO-8416-01A	TCGA-KL-8332-01A	TCGA-KN-8418-01A	TCGA-KM-8443-01A	TCGA-KL-8323-01A	TCGA-KN-8428-11A	TCGA-KN-8426-01A	TCGA-KL-8340-01A	TCGA-KM-8442-01A	TCGA-KN-8433-01A	TCGA-KL-8324-11A	TCGA-KM-8639-01A	TCGA-KN-8423-01A	TCGA-KN-8429-01A	TCGA-KL-8337-01A	TCGA-KL-8341-01A	TCGA-KN-8430-01A	TCGA-KL-8338-01A	TCGA-KO-8404-01A	TCGA-KN-8422-01A	TCGA-KL-8333-01A	TCGA-KN-8434-01A	TCGA-KM-8441-01A	TCGA-KL-8339-01A	TCGA-KN-8435-01A	TCGA-KL-8339-11A	TCGA-KN-8425-11A	TCGA-KL-8324-01A	TCGA-KN-8423-11A	TCGA-KM-8439-01A	TCGA-KL-8332-11A	TCGA-KN-8428-01A	TCGA-KN-8421-01A	TCGA-KO-8408-01A	TCGA-KL-8343-01A	TCGA-KN-8429-11A	TCGA-KN-8425-01A	TCGA-KO-8414-01A	TCGA-KO-8415-01A	TCGA-KL-8325-01A	TCGA-KN-8436-11A	TCGA-KL-8329-11A	TCGA-KL-8329-01A	TCGA-KN-8435-11A
hsa-let-7a-1	13.673776846815402	12.581149290238109	12.927742019976002	13.057494340489743	13.60605787444699	12.961114541615185	13.034583120663566	12.907574728052055	13.447180518809581	13.621980335395873	13.4136514232644	12.929721977126237	12.88224434641929	12.93738701222063	12.570668519916767	12.823054866138358	13.05539859794443	12.551686779625868	13.878526053778165	13.034922516415023	13.448018680215348	13.134704011326827	13.40846028058292	13.655627954327311	13.104561041697943	12.966319473211632	12.353469828114038	13.228578803116315	13.23422444601272	13.119215404714302	12.664276477522366	11.973775354383026	12.741057250864811	12.169000501947075	12.883301148528888	13.659570634518266	12.635813366797077	13.712392026050093	12.209649407741153	12.997070180649088	12.796537973878792	12.869629048695517	12.275833616491866	12.849710744761408	13.929272335293401	12.998251815538895	12.655260250173162	12.906640649584547	13.286158600952929	12.85181686132178	12.910425180949725	13.709285950214097	13.162470926567527	12.831952850259718	13.396483967270152	12.732545167870187	12.480875500316166	13.0825856440689	13.723828479694475	13.216026746482685	12.760155323727279	13.565934230981984	14.101878419080759	12.315418245981121	13.792902910388856	12.53084241331016	12.580823616122975	13.756775885251807	12.861242235749602	12.51323202848585	12.62691612303717	12.159809949050592	13.287815744080554	13.234232711059471	12.504071488162522	13.132242955098178	12.306109734589592	12.890702387875175	13.228930875660728	13.57032822163582	12.872827903242193	12.09189921391592	13.004565003297635	13.024681366699571	12.744724954684216	13.213482672194491	12.60536746547576	13.051094262157587	13.396509059792525	12.775822490283103	13.675950885160631
hsa-let-7a-2	13.673932102558851	12.572202485680346	12.9360225274027	13.054725196768429	13.614339813703948	12.953670337452307	13.045942724970374	12.897874457438142	13.4427380456443	13.621467363137667	13.417461470709732	12.92643072089786	12.873286510430125	12.928443010979159	12.54681262247444	12.833800563455073	13.059964311812237	12.551492273957926	13.879824776382819	13.056770286261647	13.461291468375217	13.15365031655137	13.412638349377712	13.648586846910321	13.108845667157071	12.961110874873599	12.355981843282912	13.224901599582319	13.228409060993748	13.116379092870943	12.647096788374323	11.966615774924756	12.74889749963838	12.15580426908011	12.907188086597657	13.658912544088098	12.636033238383789	13.705076414059295	12.207540562242388	13.006902563196201	12.788620060729478	12.867781470331089	12.275217843618172	12.842852034309264	13.930497951813802	12.996070018807934	12.661124042663738	12.907294220805872	13.30723457131112	12.85450377391835	12.912125917362033	13.715859555056308	13.157338135622657	12.836941717854792	13.395860417946947	12.725620607193566	12.477696721946025	13.086286797468972	13.719971680978166	13.214440642702336	12.762165152204199	13.564951245398811	14.104676893416645	12.316132665094363	13.790480588436685	12.52629299847533	12.588930447788961	13.749874363194147	12.880998774357003	12.505692946910644	12.61669667500063	12.145733095564232	13.285655023670731	13.231649532277611	12.51389198351201	13.144013684143186	12.302693804839176	12.89311768437619	13.220113958631291	13.57302321157341	12.86250085758427	12.091271789183164	13.001921868279235	13.028555704909097	12.75696886743575	13.206791734647782	12.59127787436709	13.03960220107276	13.388883856372912	12.767917282566389	13.679306055231399
hsa-let-7a-3	13.676956254911781	12.595761855327968	12.926869912176024	13.053982558450047	13.613848819288574	12.968962078653563	13.059880939170228	12.893666007280817	13.438909752740402	13.619447900694349	13.42103192729765	12.925135670429936	12.870707423759836	12.94472901700234	12.610677512006017	12.83257382959024	13.052323942318235	12.583901927138628	13.882742634674335	13.041779774857476	13.455138887757352	13.14066454797183	13.4194126034272	13.653902013479373	13.125236127242045	12.956239614986519	12.359428737458156	13.227560013230661	13.238056963568425	13.108587920079458	12.666454286271678	11.969090797555213	12.731990342850825	12.174788309178146	12.890315323616898	13.660935215167614	12.625810492186869	13.718317336420531	12.21004695759005	12.99735671544132	12.795303660879611	12.882959205635462	12.278557456222249	12.856304339486638	13.933865035523477	12.982237093952678	12.67463846625592	12.904678157363255	13.293808717571675	12.842603433649915	12.897553316977547	13.71935879004661	13.18016496240227	12.834967991593816	13.38325131933371	12.720015766943447	12.480050516719762	13.09267424038264	13.734996867007945	13.219353676128588	12.76427246309949	13.570497820709946	14.110277084626617	12.319444984148156	13.7994430148114	12.529118461452269	12.585403108436408	13.754631266100528	12.860097285264594	12.513903819960351	12.631511435207583	12.14685311667784	13.303302775990904	13.232289099990805	12.501543879315244	13.142308168378772	12.306894255687158	12.895528943862168	13.23385065827841	13.571509128827335	12.865406653650258	12.095771795908767	13.009493564840898	13.041902351693052	12.7534811970205	13.218106668119738	12.58886192465085	13.05307325218234	13.401723566969125	12.767333076569006	13.686826779454611
hsa-let-7b	14.135432676114155	13.293855175405056	12.805343392130357	13.156686053846949	14.005434518269679	12.205233795487862	14.394389465997047	14.089904389963356	13.766445499345483	13.852473777599602	14.292735204842286	12.084711242735564	13.915320207675705	13.64931739643451	13.219252661804852	13.877781267797449	12.683780739600547	13.515873995750942	14.307920023259445	13.078427326087105	14.115478773122721	13.441381452255678	13.536088432289379	13.534474312935016	13.786573168241722	13.461664926552148	10.89857291108878	14.88577285583349	13.780142793951075	13.037517017214721	13.355090149452172	11.139161813080623	13.142704859667663	11.13474250468538	12.615339744067352	14.242658003866818	12.260133896089556	13.455012940455928	11.95628929814936	12.808404072145585	13.583062695656942	13.6058588752162	12.418295255716085	13.615201262482124	14.620707937602903	13.737797700149642	12.33785496983722	13.119752536389962	13.973973564581554	13.31539767229408	13.003940193652397	13.595890087958306	13.659108857319806	12.812023741190513	13.018816640618692	13.59501037708012	12.545351616256585	13.768214900757066	13.34101027410339	13.760874065940902	12.990678866470631	13.404718783607596	14.046754053510284	12.479019723152783	14.090955876586172	12.6909378907961	12.851653176493272	13.46355889830268	12.518406540446708	11.26038788078176	12.69413501345628	12.510743603434046	13.551137487147919	13.61883491275017	13.29127381076825	14.29930134686017	10.492064793288646	13.100568570306327	13.495183671573354	14.014447753031115	12.785385844965868	11.846444468414557	14.17515774507628	13.262796582088104	13.325535267775274	14.089648229255975	13.348525109796816	13.50912860823015	13.791523827356688	13.652463468618851	13.94175660110084
hsa-let-7c	10.799463477880458	11.132804781428675	9.708936931134344	10.241818652829481	11.745113405717964	10.107003145856782	11.694087897759092	10.554003326747656	11.405920750546947	11.171591828088738	8.846662284922783	10.268415307750207	11.04208369936362	11.126826948323966	10.936524575522004	11.343826864788332	8.99107322288519	9.195238725174423	12.165434841694537	10.397007232678495	10.548660097957876	10.527068664603208	10.604650952837906	11.005632483293086	12.639918670368424	10.787234623040282	10.045946476247265	12.189266515524814	11.672307487448677	10.495229125158872	10.987993585361139	9.607024080325843	8.08730188691076	9.830906893436286	9.727796848752442	10.950118311368424	9.938906570654819	9.770142537399256	9.491110277858066	8.822317987442801	11.462762106589738	11.324235336480172	7.494004089196731	11.280816664266812	12.225338020546479	10.283132323290431	9.716308361880886	9.474375810044805	10.42161014256207	9.859741667062412	9.516586830893067	9.6930969833571	11.27089519349532	10.168443161434366	8.122156285267875	11.606981282214779	9.374438886678854	11.33375828928146	12.106169543044153	10.151304461685047	9.857944174841606	11.301233766951468	10.067662370571346	9.512256613738744	9.818531191769145	11.653336253801873	7.635656508410901	10.51721059426151	9.502553898925413	9.296766312481775	7.094952825891557	9.260048197895362	11.247305676953564	11.339786192274056	9.576739548030773	11.452194499340639	9.137132847983544	11.183217008101714	10.179399204974155	11.419903240817238	9.413160680367493	9.254975871527426	11.748208830284245	10.521940990383175	10.813223165085589	10.591843640958075	7.327730561756083	11.721837629210203	11.45651023726716	10.03981484139067	11.483990393748282
hsa-let-7d	8.910062034161891	8.817165026752917	8.987043380835662	9.11461201554047	8.628181306804615	9.132592436996383	9.327883159649847	8.35733589646752	8.736520832903969	8.153335735368692	8.979298264024804	8.357084249290658	8.829494003815006	9.120363177677358	9.020849496157716	8.605612484339614	8.891821598522766	9.746452777713598	8.6410345865732	9.194596021889721	8.389431531250613	9.062579809175991	9.072009045749361	8.895151614621952	8.65203590144396	8.708445431319262	9.670572087092665	8.896120571055471	8.770652754310102	8.686327141238333	8.44848447716241	8.84996362310781	9.244081945648146	9.154702805269293	9.256401201743031	8.389361685489234	9.35063548326584	9.73180599079767	9.276489628483587	9.033757164241937	8.957066464321965	8.91943467872817	9.554459868591639	8.80654989908649	8.282644258808423	8.562285028895529	9.601734568323494	8.69153841511263	9.014196027526976	9.407957086658378	8.543242291400933	9.015261098157351	8.626950304835072	8.718930169541515	8.907895854837511	8.640480257109989	8.30239080459664	8.696665063933704	8.960655921446415	8.563511292667712	9.037980540143534	8.468831336277107	9.252145805477573	8.915407686815849	8.65950664848274	9.670689628978153	9.479816506740454	8.2604585265914	9.213861745554135	9.58336542903851	9.25366866479345	8.910366000268176	8.87477590492968	8.76420379673941	8.702212515668721	8.364519573362367	9.579275288838858	8.363246732502999	9.526431066028266	9.130054948507041	8.538038422099776	8.222337533474764	8.700556831787079	9.004801034942796	10.347312784840975	9.002054559931029	8.53960324396847	8.783597554493147	8.918015473461029	8.697266550281432	8.814513032233592
hsa-let-7e	10.883850638921256	10.307566486555283	9.990637711926412	10.187597270925908	11.0950461744613	10.681571762338494	10.360216495237152	9.528126555435682	10.996134530687902	10.295758884872557	10.180227327119912	11.018372366781032	8.888217241977824	10.605957024795828	10.28724891723799	9.66675055520161	10.59926826251293	10.195004161870168	11.087311898678783	10.5677445919955	10.274992311218806	10.484287594368846	10.829591952816434	9.979967206708794	10.923924740040734	10.39923025976947	11.015912699124003	9.590336459531052	10.341105589552399	10.915156700368271	9.95293347240219	10.30905833577971	9.84481793723928	10.781403001923572	10.482106255227567	10.527377908274449	9.826775760589886	11.049885440460429	9.67467639562386	10.237858774210343	9.955437487372414	10.572089880971541	10.503302221934359	10.182888421644062	10.957380435974557	9.847712880886228	10.383610462411845	10.33343135955773	11.050393248408206	9.67933091536579	9.7223412894857	10.461039641691196	10.390035873807598	10.728956301723583	10.75354607903237	10.171670946802017	10.156903915755812	10.314145192102337	11.229813371284749	10.902181127553808	10.328820670308046	10.767853976799852	10.192706711157397	10.540034929911247	10.897611217568137	11.037332053953284	10.628805252213668	10.171576754119283	10.697188617082105	10.60781926843407	9.611864968601067	9.033556689672297	10.738040501585141	10.54304768207786	10.073421129201657	10.808167870605208	11.086380662821501	10.059575419570312	9.504123131046263	10.789025384462143	9.72562712776914	10.309195252173799	10.397440020322948	10.65856238367773	10.49984574161809	10.427934717000285	10.182146575948634	11.193821692398727	11.092234534368163	9.579756746518807	11.036445798011295
hsa-let-7f-1	12.324270686641102	11.438054633657877	11.776551071983686	11.942757784935099	12.34658017067885	12.429751856389762	10.980698892062861	11.187635017217252	12.036601127260125	12.140389001324074	11.381227437456896	12.018951959870218	11.159974859044274	11.31777664764229	11.20255254794892	10.903518721287101	12.255717878760136	11.184137171580476	12.542527040343039	11.728724643879872	12.049282923224697	11.952976915682921	12.519782489059313	12.546075656295729	11.657522606409573	12.019105831851306	11.715296606466694	10.872675869766704	11.767602755146887	11.89331653496267	11.36426025486171	10.943416607731615	11.420879993337921	11.089241071875927	12.064726099573052	12.312541595032275	12.006475922361723	12.876733436831945	11.560158467292021	12.152297538727723	10.993200699460147	11.586093292847977	11.753720192823858	11.429144716350189	12.562549557234961	11.63990118809509	12.180299835197946	11.858150313360008	12.040062389934265	11.731298914624082	11.770251099626126	12.193716276729667	11.935622120315076	11.929656545295213	12.66583457062912	11.62712712483838	11.63064576548875	11.574953355879952	12.895590875519982	11.823256528460622	11.997468441671305	12.859453752282503	12.719265001846178	11.3165685615985	12.74262341085053	11.775845147700844	12.097065336747018	12.778465678948242	11.981520577284206	11.723812857489024	11.823968581989188	11.087685939837339	11.960019642634338	11.669357704472501	11.374479865152905	11.843977166168248	11.660032289704416	11.601943370923188	11.946342906072731	12.276652950591712	11.704446295305416	10.875277339412465	11.432775386174784	12.338153603803539	10.785381148217237	11.898866212130116	11.108544013396193	11.672022755767083	12.146206251255695	11.18386883232241	12.191366508859076
hsa-let-7f-2	12.34203117753503	11.43226487582319	11.807488877962717	11.966577473467547	12.35321066692576	12.473126767543256	11.024633815260874	11.20585365686445	12.064953084185785	12.154262686365572	11.397808814992892	12.040032210547398	11.184038560256019	11.337692420072267	11.198825797619385	10.902979375388158	12.270904614667305	11.217620675950561	12.561508233177719	11.749477131506952	12.027577235037324	11.951153337757788	12.531512992727906	12.567113365052753	11.663360429002395	12.039286463564087	11.732368908000907	10.847897693595494	11.794005694769469	11.914989285183587	11.373044138479862	10.95575655550743	11.41061709555878	11.091012248997746	12.05696578188244	12.343505477132043	12.025622647850119	12.891523153455635	11.576715576597067	12.197960354175223	10.982047602261602	11.591282719615245	11.781613588708856	11.451160509962106	12.569476927357263	11.666559817795095	12.22025395760814	11.891766864970638	12.039458885445915	11.728621527979538	11.789332802950907	12.217741683232694	11.943283393221558	11.940803506053165	12.69038539348672	11.65876198994654	11.651679238268526	11.586971226688554	12.920295242493882	11.843920534807257	12.031083488845917	12.870755401018677	12.747136762869358	11.33350340882686	12.738380631280554	11.838098390655077	12.102936608449498	12.795818222542747	11.972567867978182	11.745276201196733	11.849142691517981	11.121834856313821	11.963247039140711	11.667782505400165	11.4199110253383	11.861345824801925	11.66456356348224	11.633488063125206	11.980363259448714	12.284307538834273	11.718993217120932	10.863700902673326	11.405904475732564	12.35649862706127	10.816826616063468	11.897385228671062	11.178067936007547	11.70652988991562	12.161385690879749	11.1939650955505	12.210843289395433
hsa-let-7g	10.218883740423312	9.364493079697777	8.757520844455874	8.840124824915957	9.247250502850601	9.614085434255808	9.017028518605713	8.714484236464322	8.960565258220349	9.67737807883124	8.490287427898863	9.28845946517872	9.330740567319395	8.390633386239704	9.534051535886075	8.665771715824414	9.559004754502759	9.334690314757118	9.318312762280739	9.30100264713471	9.383218043908657	9.469428771003107	9.423204862741082	9.712844050710517	9.2405881434692	9.39862163691215	9.44585678631395	8.682032606748237	8.951523325737051	9.586499919145222	9.061217425714226	9.707739870493182	9.571264624826345	9.725770237747787	9.567715258300833	9.545403912727389	9.483643963412774	9.600787718277843	9.242069777892759	9.288861235190165	8.77469007627276	8.804234391259524	9.497372976290997	9.02492316117696	9.058186173036159	9.51935328979794	9.24917981278849	9.501797793815111	9.91495799856771	9.183738080833951	9.625141377955329	9.531932252362864	9.327839748874467	8.982678054722165	9.530341659211166	9.292100881271736	9.26643376097065	9.04288381924268	8.991393497195396	8.940935755714246	9.488067338841338	9.958840509459469	8.964293672552067	9.690960617683391	9.759128435053805	9.13687210404985	9.616445204931233	8.996227824095286	9.59721534899816	9.362464198965766	10.022014885269252	9.085298454222182	9.1577987263025	8.956065361309548	8.932768926885984	8.549011203054327	9.259454676993094	9.114279420425005	9.826187320265168	8.729058516525933	9.383553814557498	8.744029433546816	8.511836094463979	8.958492811169332	8.291921755282344	9.165474359738612	9.530321526768391	9.202959086125661	9.4542260587922	8.981415255789742	8.912366731564747
